registry_key,output_file_path,source_family,source_info_path,source_registry_path,name_blank,name_en_blank,description_blank,description_en_blank,action_count_written
a_pump,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_a_pump.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/a_pump/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/a_pump/registry.yaml,false,false,false,false,16
incubator,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_incubator.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/incubator/registry.yaml,false,false,false,false,16
bi_talino,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bi_talino.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bi_talino/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bi_talino/registry.yaml,false,false,false,false,5
bio_shake,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bio_shake.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bio_shake/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bio_shake/registry.yaml,false,false,false,false,13
bioshake_driver,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_bioshake_driver.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bioshake_driver/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/bioshake_driver/registry.yaml,false,false,false,false,7
cytation_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_cytation_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/cytation_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/cytation_backend/registry.yaml,false,false,false,false,17
byonoy_absorbance96_automate_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_byonoy_absorbance96_automate_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/byonoy_absorbance96_automate_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/byonoy_absorbance96_automate_backend/registry.yaml,false,false,false,false,7
clari_ostar_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_clari_ostar_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/clari_ostar_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/clari_ostar_backend/registry.yaml,false,false,false,false,13
coherent,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_coherent.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/coherent/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/coherent/registry.yaml,false,false,false,false,19
cool_led,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_cool_led.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/cool_led/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/cool_led/registry.yaml,false,false,false,false,1
cytomat_backend,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_cytomat_backend.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/cytomat_backend/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/cytomat_backend/registry.yaml,false,false,false,false,43
piezo_e255,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_piezo_e255.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/piezo_e255/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/piezo_e255/registry.yaml,false,false,false,false,7
piezo_e662,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_piezo_e662.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/piezo_e662/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/piezo_e662/registry.yaml,false,false,false,false,7
mu_xelve,/home/xzye/projects/DPTech/device_filtering_biology/final/reformatted_info_yaml/info_mu_xelve.yaml,community_drivers,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/mu_xelve/info.txt,/home/xzye/projects/DPTech/community_drivers/Uni-Lab-OS/community_drivers/mu_xelve/registry.yaml,false,false,false,false,7
